time_s,modulator_m,alpha,phi_rad,stride_half_m,o1,o2,body_x_m,support_legs,LF_contact,LF_lift_m,RM_contact,RM_lift_m,LH_contact,LH_lift_m,RF_contact,RF_lift_m,LM_contact,LM_lift_m,RH_contact,RH_lift_m
17.650000000000002,1.0,1.1,0.4,0.065,0.15114670140703382,-0.5610732235202649,2.178867088353607,3,1,0.0,1,0.0,1,0.0,0,0.016832196705607948,0,0.016832196705607948,0,0.016832196705607948
17.7,1.0,1.1,0.4,0.065,-0.08698417831909912,-0.5602559518283993,2.1943455955358053,3,1,0.0,1,0.0,1,0.0,0,0.016807678554851976,0,0.016807678554851976,0,0.016807678554851976
17.75,1.0,1.1,0.4,0.065,-0.31683126371242804,-0.4856656549631336,2.209285656086372,3,1,0.0,1,0.0,1,0.0,0,0.014569969648894007,0,0.014569969648894007,0,0.014569969648894007
17.8,1.0,1.1,0.4,0.065,-0.484649089807524,-0.3419884064309859,2.220193814782553,3,1,0.0,1,0.0,1,0.0,0,0.010259652192929576,0,0.010259652192929576,0,0.010259652192929576
17.85,1.0,1.1,0.4,0.065,-0.5632118092598902,-0.13800084169968782,2.225300391546957,3,1,0.0,1,0.0,1,0.0,0,0.004140025250990635,0,0.004140025250990635,0,0.004140025250990635
17.900000000000002,1.0,1.1,0.4,0.065,-0.5578743555543326,0.10109308698566845,2.225300391546957,3,0,0.003032792609570053,0,0.003032792609570053,0,0.003032792609570053,1,0.0,1,0.0,1,0.0
17.95,1.0,1.1,0.4,0.065,-0.47917719073493903,0.3287225326007447,2.2304157072602178,3,0,0.00986167597802234,0,0.00986167597802234,0,0.00986167597802234,1,0.0,1,0.0,1,0.0
18.0,1.0,1.1,0.4,0.065,-0.33164455916250224,0.49170860364183194,2.240005328312426,3,0,0.014751258109254957,0,0.014751258109254957,0,0.014751258109254957,1,0.0,1,0.0,1,0.0
18.05,1.0,1.1,0.4,0.065,-0.1247300314672951,0.5650672314399758,2.2534547726126144,3,0,0.016952016943199276,0,0.016952016943199276,0,0.016952016943199276,1,0.0,1,0.0,1,0.0
18.1,1.0,1.1,0.4,0.065,0.11516667897615183,0.5552481146581482,2.2690480587914386,3,0,0.016657443439744443,0,0.016657443439744443,0,0.016657443439744443,1,0.0,1,0.0,1,0.0
